staff_id,name,dob,role,location_id
273,Clifton Gleason,1967-12-10,Front-of-house,9
275,Margret Becker,2002-05-18,Manager,10
278,Joanne Ziemann,2001-02-05,Back-of-house,2
278,Joanne Ziemann,2001-02-05,Back-of-house,6
278,Joanne Ziemann,2001-02-05,Back-of-house,18
279,Markita Lang,1961-03-02,Front-of-house,1
280,Lakesha Jacobson,1993-03-22,Manager,12
281,Richard Smitham,1978-06-24,Front-of-house,1
286,Noma Kreiger,1965-06-05,Manager,15
286,Noma Kreiger,1965-06-05,Manager,24
291,Ellis Murphy,1980-05-28,Back-of-house,19
292,Chana Runolfsdottir,1981-10-15,Front-of-house,13
292,Chana Runolfsdottir,1981-10-15,Front-of-house,19
293,Charlyn Harris,1968-10-18,Front-of-house,16
296,Kurt Dibbert,2003-09-16,Manager,5
296,Kurt Dibbert,2003-09-16,Manager,16
297,Kyle Herman,1979-10-21,Back-of-house,13
298,Lorenzo Will,1985-11-29,Chef,1
300,Junko Blanda,1984-11-28,Manager,16
302,Cary Beatty,1968-04-27,Back-of-house,12
306,Maren Moore,1996-04-11,Manager,5
308,Roseline Jacobi,1958-10-10,Manager,13
309,Cherlyn Koepp,1973-06-04,Chef,2
310,My Schaefer,1962-04-16,Front-of-house,2
312,Jessika Kling,1997-02-25,Chef,19
313,Peggy Maggio,1970-12-21,Chef,1
314,Wilson Durgan,1971-10-14,Chef,10
315,Johnson Connelly,1982-04-23,Back-of-house,17
316,Glynis Kihn,1991-04-28,Chef,20
318,Winfred Dibbert,1993-06-28,Front-of-house,16
318,Winfred Dibbert,1993-06-28,Front-of-house,18
320,Ilda Spinka,1985-01-18,Manager,21
320,Ilda Spinka,1985-01-18,Manager,24
321,Clifton Dooley,1974-08-27,Chef,9
322,Vella Altenwerth,1959-10-28,Back-of-house,14
323,Nicholas Mertz,1983-02-12,Back-of-house,24
323,Nicholas Mertz,1983-02-12,Back-of-house,3
324,Hang Muller,1998-09-19,Manager,8
330,Christian Cummings,1978-10-31,Chef,4
333,Johnie Jacobi,1966-12-14,Chef,1
335,Karlyn Wuckert,1968-05-19,Back-of-house,11
343,Kim Cormier,1978-06-10,Back-of-house,18
349,Raymond Luettgen,2003-10-03,Back-of-house,22
356,Marlana Schmitt,1967-12-26,Back-of-house,12
356,Marlana Schmitt,1967-12-26,Back-of-house,3
357,August Blanda,1958-11-07,Front-of-house,7
357,August Blanda,1958-11-07,Front-of-house,20
360,Hildegarde Kertzmann,1959-06-11,Manager,19
366,Tawnya Hyatt,1965-08-03,Back-of-house,3
367,Tequila Emmerich,1987-04-01,Chef,24
372,Bunny Kilback,1971-02-09,Back-of-house,10
373,Elfriede Jacobi,1995-09-25,Manager,19
377,Jerry Rempel,1989-02-22,Front-of-house,5
377,Jerry Rempel,1989-02-22,Front-of-house,3
384,Ranee Bartell,1974-07-26,Chef,6
386,Rubi Fritsch,1970-01-31,Front-of-house,2
390,Kenna Ferry,1994-09-22,Manager,17
390,Kenna Ferry,1994-09-22,Manager,9
396,Florinda Prosacco,1993-08-12,Back-of-house,12
403,Stevie Powlowski,1974-04-06,Front-of-house,5
404,Edna Ortiz,1997-06-26,Chef,14
406,Frankie Russel,2004-02-21,Front-of-house,22
409,Chance Gorczany,1959-01-29,Chef,9
414,Michael Carter,1987-07-23,Front-of-house,1
421,Roman Nolan,1994-10-14,Front-of-house,19
422,Roosevelt Lind,2003-11-01,Front-of-house,7
424,Gayla Hilpert,1967-01-01,Back-of-house,6
425,Jeanette Jacobi,1963-02-27,Manager,22
429,Tyson Bernier,1987-01-29,Front-of-house,4
430,Georgine Boyle,1982-08-01,Chef,24
431,Mason Fahey,1965-05-20,Back-of-house,19
433,King Heaney,1968-10-15,Chef,25
437,Osvaldo Wisoky,1972-06-11,Manager,21
439,Claretha Beier,1974-01-24,Manager,7
439,Claretha Beier,1974-01-24,Manager,21
440,Demetria Schmitt,1964-02-07,Manager,25
442,George Abernathy,1984-10-02,Back-of-house,23
447,Nickolas Howe,1976-02-08,Back-of-house,1
448,Cammy Muller,1984-03-28,Back-of-house,5
449,Ike Ruecker,1986-01-26,Front-of-house,15
456,Adrianna Dickinson,1987-08-09,Front-of-house,2
457,Jerrie Labadie,1994-12-10,Front-of-house,18
457,Jerrie Labadie,1994-12-10,Front-of-house,22
458,Marcel Lebsack,1994-10-13,Chef,8
459,Moshe Keebler,1993-08-03,Chef,2
460,Efren Stoltenberg,1976-07-23,Manager,1
461,Tangela Macejkovic,1984-06-01,Chef,20
462,Erika Wuckert,1996-09-04,Manager,19
463,Cordie Boyer,2002-02-14,Chef,17
465,Phyllis Kozey,1991-01-20,Front-of-house,6
465,Phyllis Kozey,1991-01-20,Front-of-house,13
474,Patricia Collier,2004-07-22,Back-of-house,3
476,Deangelo Herzog,1959-11-23,Back-of-house,18
476,Deangelo Herzog,1959-11-23,Back-of-house,8
478,Earle Mohr,1978-07-26,Chef,13
483,Tonie Harber,1994-02-22,Manager,19
485,Francisca Reinger,1963-10-30,Manager,8
486,Rod Klocko,1984-08-30,Manager,11
488,Cary Monahan,2002-08-05,Chef,18
495,Francis Johns,1997-01-30,Manager,1
499,Tai Gorczany,1979-10-31,Back-of-house,4
500,Rhett Lockman,1991-01-02,Manager,24
